player_id,player_name,club_name,club_id
794,Blake Drury,North Melbourne Kangaroos,10
1068,Dylan Stephens,North Melbourne Kangaroos,10
1108,Zac Fisher,North Melbourne Kangaroos,10
1270,Luke McDonald,North Melbourne Kangaroos,10
1462,Cameron Zurhaar,North Melbourne Kangaroos,10
1475,Luke Davies-Uniacke,North Melbourne Kangaroos,10
1477,Jaidyn Stephenson,North Melbourne Kangaroos,10
1552,Callum Coleman-Jones,North Melbourne Kangaroos,10
1662,Charlie Comben,North Melbourne Kangaroos,10
1685,Bigoa Nyuon,North Melbourne Kangaroos,10
1701,Jackson Archer,North Melbourne Kangaroos,10
1724,George Wardlaw,North Melbourne Kangaroos,10
1733,Robert Hansen Jr,North Melbourne Kangaroos,10
1747,Toby Pink,North Melbourne Kangaroos,10
1748,Colby McKercher,North Melbourne Kangaroos,10
1749,Zane Duursma,North Melbourne Kangaroos,10
1770,Tyler Sellers,North Melbourne Kangaroos,10
1787,Riley Hardeman,North Melbourne Kangaroos,10
1808,Curtis Taylor,North Melbourne Kangaroos,10
1809,Wil Dawson,North Melbourne Kangaroos,10
1832,Brynn Teakle,North Melbourne Kangaroos,10
1855,Griffin Logue,North Melbourne Kangaroos,10
104,Travis Boak,Port Adelaide Power,11
361,Charlie Dixon,Port Adelaide Power,11
381,Trent McKenzie,Port Adelaide Power,11
736,Brandon Zerk-Thatcher,Port Adelaide Power,11
947,Jordon Sweet,Port Adelaide Power,11
1003,Oliver Wines,Port Adelaide Power,11
1004,Darcy Byrne-Jones,Port Adelaide Power,11
1005,Aliir Aliir,Port Adelaide Power,11
1006,Jeremy Finlayson,Port Adelaide Power,11
1007,Ryan Burton,Port Adelaide Power,11
1008,Willem Drew,Port Adelaide Power,11
1009,Dan Houston,Port Adelaide Power,11
1010,Sam Powell-Pepper,Port Adelaide Power,11
1011,Todd Marshall,Port Adelaide Power,11
1012,Willie Rioli,Port Adelaide Power,11
1013,Kane Farrell,Port Adelaide Power,11
1015,Zak Butters,Port Adelaide Power,11
1017,Connor Rozee,Port Adelaide Power,11
1019,Dylan Williams,Port Adelaide Power,11
1020,Miles Bergman,Port Adelaide Power,11
1021,Francis Evans,Port Adelaide Power,11
1022,Lachlan Jones,Port Adelaide Power,11
1023,Jed McEntee,Port Adelaide Power,11
1024,Dante Visentini,Port Adelaide Power,11
1025,Jason Horne-Francis,Port Adelaide Power,11
1033,Ivan Soldo,Port Adelaide Power,11
1269,Tom Clurey,Port Adelaide Power,11
1480,Esava Ratugolea,Port Adelaide Power,11
1576,Mitchell Georgiades,Port Adelaide Power,11
1667,Jackson Mead,Port Adelaide Power,11
1669,Josh Sinn,Port Adelaide Power,11
1691,Jase Burgoyne,Port Adelaide Power,11
1815,Tom Anastasopoulos,Port Adelaide Power,11
1825,Ollie Lord,Port Adelaide Power,11
1828,Quinton Narkle,Port Adelaide Power,11
1835,Will Lorenz,Port Adelaide Power,11
1847,Logan Evans,Port Adelaide Power,11
41,Dustin Martin,Richmond Tigers,12
385,Dion Prestia,Richmond Tigers,12
415,Dylan Grimes,Richmond Tigers,12
486,Thomas Lynch,Richmond Tigers,12
828,Jacob Koschitzke,Richmond Tigers,12
1027,Kamdyn McIntosh,Richmond Tigers,12
1028,Nick Vlastuin,Richmond Tigers,12
1029,Toby Nankervis,Richmond Tigers,12
1030,Jayden Short,Richmond Tigers,12
1031,Nathan Broad,Richmond Tigers,12
1032,Daniel Rioli,Richmond Tigers,12
1034,Jacob Hopper,Richmond Tigers,12
1035,Tim Taranto,Richmond Tigers,12
1036,Shai Bolton,Richmond Tigers,12
1037,Jack Graham,Richmond Tigers,12
1038,Liam Baker,Richmond Tigers,12
1039,Noah Balta,Richmond Tigers,12
1040,Ben Miller,Richmond Tigers,12
1041,Jack Ross,Richmond Tigers,12
1042,Marlion Pickett,Richmond Tigers,12
1043,Thomson Dow,Richmond Tigers,12
1044,Rhyan Mansell,Richmond Tigers,12
1045,Maurice Rioli,Richmond Tigers,12
1046,Tom Brown,Richmond Tigers,12
1047,Sam Banks,Richmond Tigers,12
1048,Tylar Young,Richmond Tigers,12
1050,James Trezise,Richmond Tigers,12
1327,Sam Naismith,Richmond Tigers,12
1645,Hugo Ralphsmith,Richmond Tigers,12
1653,Samson Ryan,Richmond Tigers,12
1664,Joshua Gibcus,Richmond Tigers,12
1687,Noah Cumberland,Richmond Tigers,12
1688,Judson Clarke,Richmond Tigers,12
1698,Tyler Sonsie,Richmond Tigers,12
1740,Steely Green,Richmond Tigers,12
1741,Seth Campbell,Richmond Tigers,12
1764,Mykelti Lefau,Richmond Tigers,12
1767,Kane McAuliffe,Richmond Tigers,12
1810,Kaleb Smith,Richmond Tigers,12
1836,Jacob Blight,Richmond Tigers,12
1852,Matthew Coulthard,Richmond Tigers,12
1862,Jacob Bauer,Richmond Tigers,12
689,Bradley Hill,St Kilda Saints,13
858,Liam Henry,St Kilda Saints,13
889,Jimmy Webster,St Kilda Saints,13
890,Tom Campbell,St Kilda Saints,13
891,Brad Crouch,St Kilda Saints,13
892,Mason Wood,St Kilda Saints,13
893,Tim Membrey,St Kilda Saints,13
895,Dan Butler,St Kilda Saints,13
896,Jack Steele,St Kilda Saints,13
897,Jack Sinclair,St Kilda Saints,13
898,Zaine Cordy,St Kilda Saints,13
900,Josh Battle,St Kilda Saints,13
901,Rowan Marshall,St Kilda Saints,13
902,Jack Higgins,St Kilda Saints,13
905,Liam Stocker,St Kilda Saints,13
906,Callum Wilkie,St Kilda Saints,13
907,Ryan Byrnes,St Kilda Saints,13
908,Cooper Sharman,St Kilda Saints,13
909,Jack Hayes,St Kilda Saints,13
910,Mitch Owens,St Kilda Saints,13
911,Nasiah Wanganeen-Milera,St Kilda Saints,13
912,Marcus Windhager,St Kilda Saints,13
913,Mattaes Phillipou,St Kilda Saints,13
1179,Seb Ross,St Kilda Saints,13
1305,Zak Jones,St Kilda Saints,13
1388,Dougal Howard,St Kilda Saints,13
1423,Riley Bonner,St Kilda Saints,13
1578,Max King,St Kilda Saints,13
1711,Anthony Caminiti,St Kilda Saints,13
1751,Darcy Wilson,St Kilda Saints,13
1752,Arie Schoenmaker,St Kilda Saints,13
1753,Lance Collard,St Kilda Saints,13
1754,Hugo Garcia,St Kilda Saints,13
1765,Angus Hastie,St Kilda Saints,13
1801,Paddy Dow,St Kilda Saints,13
1802,Ben Paton,St Kilda Saints,13
1820,Hunter Clark,St Kilda Saints,13
1849,Max Heath,St Kilda Saints,13
1850,Angus McLennan,St Kilda Saints,13
505,Luke Parker,Sydney Swans,14
658,Harry Cunningham,Sydney Swans,14
694,Taylor Adams,Sydney Swans,14
843,Joel Hamling,Sydney Swans,14
1051,Jake Lloyd,Sydney Swans,14
1052,Dane Rampe,Sydney Swans,14
1053,Isaac Heeney,Sydney Swans,14
1054,Lewis Melican,Sydney Swans,14
1056,Tom Papley,Sydney Swans,14
1058,Aaron Francis,Sydney Swans,14
1059,Oliver Florent,Sydney Swans,14
1060,Robbie Fox,Sydney Swans,14
1061,Will Hayward,Sydney Swans,14
1062,Tom McCartin,Sydney Swans,14
1063,Joel Amartey,Sydney Swans,14
1064,Nick Blakey,Sydney Swans,14
1065,James Rowbottom,Sydney Swans,14
1066,Samuel Wicks,Sydney Swans,14
1067,Hayden McLean,Sydney Swans,14
1069,Chad Warner,Sydney Swans,14
1070,Braeden Campbell,Sydney Swans,14
1071,Errol Gulden,Sydney Swans,14
1072,Logan McDonald,Sydney Swans,14
1073,Matty Roberts,Sydney Swans,14
1250,Brodie Grundy,Sydney Swans,14
1541,Justin McInerney,Sydney Swans,14
1551,Peter Ladhams,Sydney Swans,14
1622,James Jordon,Sydney Swans,14
1666,Angus Sheldrick,Sydney Swans,14
1716,Corey Warner,Sydney Swans,14
1744,Caleb Mitchell,Sydney Swans,14
1768,Jacob Konstanty,Sydney Swans,14
1782,Caiden Cleary,Sydney Swans,14
1831,Lachlan McAndrew,Sydney Swans,14
1848,Callum Mills,Sydney Swans,14
1853,Sam Reid,Sydney Swans,14
286,Jack Darling,West Coast Eagles,15
338,Andrew Gaff,West Coast Eagles,15
468,Jamie Cripps,West Coast Eagles,15
717,Elliot Yeo,West Coast Eagles,15
831,Tyler Brockman,West Coast Eagles,15
958,Jeremy McGovern,West Coast Eagles,15
959,Jayden Hunt,West Coast Eagles,15
960,Liam Duggan,West Coast Eagles,15
961,Tom Cole,West Coast Eagles,15
962,Josh Rotham,West Coast Eagles,15
963,Alex Witherden,West Coast Eagles,15
965,Jamaine Jones,West Coast Eagles,15
966,Tim Kelly,West Coast Eagles,15
967,Oscar Allen,West Coast Eagles,15
968,Jack Petruccelle,West Coast Eagles,15
969,Bailey J. Williams,West Coast Eagles,15
971,Luke Edwards,West Coast Eagles,15
972,Brady Hough,West Coast Eagles,15
973,Jack Williams,West Coast Eagles,15
975,Campbell Chesser,West Coast Eagles,15
977,Noah Long,West Coast Eagles,15
978,Ryan Maric,West Coast Eagles,15
1281,Dom Sheed,West Coast Eagles,15
1370,Tom Barrass,West Coast Eagles,15
1481,Liam Ryan,West Coast Eagles,15
1482,Jake Waterman,West Coast Eagles,15
1600,Harry Edwards,West Coast Eagles,15
1671,Callum Jamieson,West Coast Eagles,15
1696,Jai Culley,West Coast Eagles,15
1708,Reuben Ginbey,West Coast Eagles,15
1728,Harry Barnett,West Coast Eagles,15
1758,Tyrell Dewar,West Coast Eagles,15
1759,Harley Reid,West Coast Eagles,15
1766,Harvey Johnston,West Coast Eagles,15
1771,Loch Rawlinson,West Coast Eagles,15
1818,Zane Trew,West Coast Eagles,15
1837,Jack Hutchinson,West Coast Eagles,15
1857,Archer Reid,West Coast Eagles,15
1859,Clay Hall,West Coast Eagles,15
230,Liam Jones,Western Bulldogs,16
309,Thomas Liberatore,Western Bulldogs,16
679,Adam Treloar,Western Bulldogs,16
904,Nick Coffield,Western Bulldogs,16
936,Rory Lobb,Western Bulldogs,16
937,Marcus Bontempelli,Western Bulldogs,16
938,Bailey Dale,Western Bulldogs,16
939,Caleb Daniel,Western Bulldogs,16
941,Bailey Williams,Western Bulldogs,16
942,Timothy English,Western Bulldogs,16
943,Alex Keath,Western Bulldogs,16
944,Aaron Naughton,Western Bulldogs,16
945,Oskar Baker,Western Bulldogs,16
946,Ed Richards,Western Bulldogs,16
948,Laitham Vandermeer,Western Bulldogs,16
949,Rhylee West,Western Bulldogs,16
950,Cody Weightman,Western Bulldogs,16
951,Riley Garcia,Western Bulldogs,16
952,Caleb Poulter,Western Bulldogs,16
953,Lachlan McNeil,Western Bulldogs,16
955,Jamarra Ugle-Hagan,Western Bulldogs,16
957,James O'Donnell,Western Bulldogs,16
1169,Jason Johannissen,Western Bulldogs,16
1204,Taylor Duryea,Western Bulldogs,16
1206,Jackson Macrae,Western Bulldogs,16
1365,James Harmes,Western Bulldogs,16
1644,Buku Khamis,Western Bulldogs,16
1652,Lachlan Bramble,Western Bulldogs,16
1702,Sam Darcy,Western Bulldogs,16
1714,Arthur Jones,Western Bulldogs,16
1756,Ryley Sanders,Western Bulldogs,16
1757,Harvey Gallagher,Western Bulldogs,16
1789,Charlie Clarke,Western Bulldogs,16
1805,Anthony Scott,Western Bulldogs,16
1806,Luke Cleary,Western Bulldogs,16
1807,Joel Freijah,Western Bulldogs,16
1823,Jedd Busslinger,Western Bulldogs,16
384,David Swallow,Gold Coast Suns,17
488,Sam Day,Gold Coast Suns,17
659,Brandon Ellis,Gold Coast Suns,17
710,Alex Sexton,Gold Coast Suns,17
795,Levi Casboult,Gold Coast Suns,17
796,Jarrod Witts,Gold Coast Suns,17
797,Rory Atkins,Gold Coast Suns,17
799,Touk Miller,Gold Coast Suns,17
800,Sam Collins,Gold Coast Suns,17
802,Darcy MacPherson,Gold Coast Suns,17
803,Brayden Fiorini,Gold Coast Suns,17
804,Ben Ainsworth,Gold Coast Suns,17
805,Charlie Ballard,Gold Coast Suns,17
807,Noah Anderson,Gold Coast Suns,17
808,Connor Budarick,Gold Coast Suns,17
809,Matthew Rowell,Gold Coast Suns,17
810,Sam Flanders,Gold Coast Suns,17
811,Malcolm Rosas,Gold Coast Suns,17
813,Ned Moyle,Gold Coast Suns,17
815,Mac Andrew,Gold Coast Suns,17
1322,Nick Holman,Gold Coast Suns,17
1440,Ben Long,Gold Coast Suns,17
1517,Wil Powell,Gold Coast Suns,17
1538,Jack Lukosius,Gold Coast Suns,17
1550,Ben King,Gold Coast Suns,17
1579,Thomas Berry,Gold Coast Suns,17
1659,Joel Jeffrey,Gold Coast Suns,17
1710,Bodhi Uwland,Gold Coast Suns,17
1715,Bailey Humphrey,Gold Coast Suns,17
1739,Will Graham,Gold Coast Suns,17
1762,Sam Clohesy,Gold Coast Suns,17
1763,Jed Walter,Gold Coast Suns,17
1773,Ethan Read,Gold Coast Suns,17
1783,Jake Rogers,Gold Coast Suns,17
1795,Alex Davies,Gold Coast Suns,17
1796,Lloyd Johnston,Gold Coast Suns,17
1833,Sean Lemmens,Gold Coast Suns,17
1856,Lachie Weller,Gold Coast Suns,17
306,Callan Ward,Greater Western Sydney Giants,18
600,Lachlan Keeffe,Greater Western Sydney Giants,18
649,Stephen Coniglio,Greater Western Sydney Giants,18
651,Toby Greene,Greater Western Sydney Giants,18
720,Nick Haynes,Greater Western Sydney Giants,18
1121,Lachie Whitfield,Greater Western Sydney Giants,18
1122,Jesse Hogan,Greater Western Sydney Giants,18
1123,Joshua Kelly,Greater Western Sydney Giants,18
1124,Harrison Himmelberg,Greater Western Sydney Giants,18
1128,Harry Perryman,Greater Western Sydney Giants,18
1129,Jack Buckley,Greater Western Sydney Giants,18
1130,Brent Daniels,Greater Western Sydney Giants,18
1131,Sam Taylor,Greater Western Sydney Giants,18
1132,Kieren Briggs,Greater Western Sydney Giants,18
1133,Callum M. Brown,Greater Western Sydney Giants,18
1134,Connor Idun,Greater Western Sydney Giants,18
1135,Toby Bedford,Greater Western Sydney Giants,18
1136,Lachlan Ash,Greater Western Sydney Giants,18
1137,Tom Green,Greater Western Sydney Giants,18
1138,Jake Riccardi,Greater Western Sydney Giants,18
1139,Ryan Angwin,Greater Western Sydney Giants,18
1141,Toby McMullin,Greater Western Sydney Giants,18
1606,Xavier O'Halloran,Greater Western Sydney Giants,18
1660,James Peatling,Greater Western Sydney Giants,18
1673,Finn Callaghan,Greater Western Sydney Giants,18
1686,Jacob Wehr,Greater Western Sydney Giants,18
1700,Leek Aleer,Greater Western Sydney Giants,18
1718,Aaron Cadman,Greater Western Sydney Giants,18
1742,Harvey Thomas,Greater Western Sydney Giants,18
1776,Max Gruzewski,Greater Western Sydney Giants,18
1785,Darcy Jones,Greater Western Sydney Giants,18
1800,Conor Stone,Greater Western Sydney Giants,18
1826,Harry Rowston,Greater Western Sydney Giants,18
1840,Isaac Cumming,Greater Western Sydney Giants,18
1841,Joe Fonti,Greater Western Sydney Giants,18
